,type,run_mems,baselines,encoding
124,tsne,3636.60546875,3614.609375,no
125,tsne,3636.63671875,3614.609375,no
126,tsne,3633.1171875,3614.609375,no
127,tsne,3636.60546875,3614.609375,no
128,tsne,3636.59375,3614.609375,no
129,tsne,3636.6015625,3614.609375,no
130,tsne,3636.625,3614.609375,no
131,tsne,3636.59375,3614.609375,no
132,tsne,3636.58203125,3614.609375,no
133,tsne,3636.62890625,3614.609375,no
134,tsne,3636.57421875,3614.609375,no
135,tsne,3636.6171875,3614.609375,no
136,tsne,3636.59765625,3614.609375,no
137,tsne,3636.61328125,3614.609375,no
138,tsne,3636.6171875,3614.609375,no
139,tsne,3636.57421875,3614.609375,no
140,tsne,3636.625,3614.609375,no
141,tsne,3636.625,3614.609375,no
142,tsne,3636.58984375,3614.609375,no
143,tsne,3636.62890625,3614.609375,no
144,tsne,3636.5859375,3614.609375,no
145,tsne,3636.578125,3614.609375,no
146,tsne,3636.60546875,3614.609375,no
147,tsne,3636.59375,3614.609375,no
148,tsne,3636.61328125,3614.609375,no
149,tsne,3636.6328125,3614.609375,no
150,tsne,3636.59765625,3614.609375,no
151,tsne,3636.58984375,3614.609375,no
152,tsne,3636.6171875,3614.609375,no
153,tsne,3636.58984375,3614.609375,no
154,tsne,3636.5859375,3614.609375,no
155,tsne,3636.5859375,3614.609375,no
156,tsne,3636.58203125,3614.609375,no
157,tsne,3636.62890625,3614.609375,no
158,tsne,3636.6640625,3614.609375,no
159,tsne,3636.68359375,3614.609375,no
160,tsne,3636.625,3614.609375,no
161,tsne,3636.7109375,3614.609375,no
162,tsne,3636.7265625,3614.609375,no
163,tsne,3636.73828125,3614.609375,no
164,tsne,3636.70703125,3614.609375,no
165,tsne,3636.69921875,3614.609375,no
166,tsne,3636.72265625,3614.609375,no
167,tsne,3636.15234375,3614.609375,no
168,tsne,3636.70703125,3614.609375,no
169,tsne,3636.734375,3614.609375,no
170,tsne,3636.734375,3614.609375,no
171,tsne,3636.71484375,3614.609375,no
172,tsne,3636.7109375,3614.609375,no
173,tsne,2605.03515625,3614.609375,no
174,tsne,2605.0625,3614.609375,no
175,tsne,2604.99609375,3614.609375,no
176,tsne,2605.01171875,3614.609375,no
177,tsne,2605.04296875,3614.609375,no
178,tsne,2604.99609375,3614.609375,no
179,tsne,2605.03125,3614.609375,no
180,tsne,2605.00390625,3614.609375,no
181,tsne,2605.01953125,3614.609375,no
182,tsne,2604.99609375,3614.609375,no
183,tsne,2605.02734375,3614.609375,no
184,tsne,2605.0546875,3614.609375,no
185,tsne,2605.05078125,3614.609375,no
186,tsne,2605.02734375,3614.609375,no
187,tsne,2605.05859375,3614.609375,no
188,tsne,2605.0234375,3614.609375,no
189,tsne,2605.0,3614.609375,no
190,tsne,2605.0546875,3614.609375,no
191,tsne,2605.0,3614.609375,no
192,tsne,2605.01171875,3614.609375,no
193,tsne,2605.05859375,3614.609375,no
194,tsne,2605.04296875,3614.609375,no
195,tsne,2605.015625,3614.609375,no
196,tsne,2605.05859375,3614.609375,no
197,tsne,2605.00390625,3614.609375,no
198,tsne,2605.015625,3614.609375,no
199,tsne,2605.05859375,3614.609375,no
200,umap,2621.42578125,2588.42578125,yes
201,umap,2629.5625,2588.42578125,yes
202,umap,2632.16796875,2588.42578125,yes
203,umap,2634.23046875,2588.42578125,yes
204,umap,2640.65625,2588.42578125,yes
205,umap,2643.06640625,2588.42578125,yes
206,umap,2647.65234375,2588.42578125,yes
207,umap,2649.62890625,2588.42578125,yes
208,umap,2651.83203125,2588.42578125,yes
209,umap,2655.77734375,2588.42578125,yes
210,umap,2657.02734375,2588.42578125,yes
211,umap,2659.375,2588.42578125,yes
212,umap,2661.80859375,2588.42578125,yes
213,umap,2663.79296875,2588.42578125,yes
214,umap,2666.765625,2588.42578125,yes
215,umap,2668.8359375,2588.42578125,yes
216,umap,2671.9609375,2588.42578125,yes
217,umap,2676.21484375,2588.42578125,yes
218,umap,2680.30078125,2588.42578125,yes
219,umap,2684.62890625,2588.42578125,yes
220,umap,2687.0,2588.42578125,yes
221,umap,2689.234375,2588.42578125,yes
222,umap,2693.39453125,2588.42578125,yes
223,umap,2698.40234375,2588.42578125,yes
224,umap,2700.140625,2588.42578125,yes
225,umap,2703.48828125,2588.42578125,yes
226,umap,2705.58984375,2588.42578125,yes
227,umap,2707.5703125,2588.42578125,yes
228,umap,2711.140625,2588.42578125,yes
229,umap,2712.97265625,2588.42578125,yes
230,umap,2715.47265625,2588.42578125,yes
231,umap,2717.9375,2588.42578125,yes
232,umap,2719.76171875,2588.42578125,yes
233,umap,2721.8828125,2588.42578125,yes
234,umap,2725.46875,2588.42578125,yes
235,umap,2726.9140625,2588.42578125,yes
236,umap,2729.41015625,2588.42578125,yes
237,umap,2733.29296875,2588.42578125,yes
238,umap,2735.453125,2588.42578125,yes
239,umap,2738.65625,2588.42578125,yes
240,umap,2742.08984375,2588.42578125,yes
241,umap,2743.5234375,2588.42578125,yes
242,umap,2746.20703125,2588.42578125,yes
243,umap,2749.38671875,2588.42578125,yes
244,umap,2750.7109375,2588.42578125,yes
245,umap,2762.96484375,2588.42578125,yes
246,umap,2767.2734375,2588.42578125,yes
247,umap,2768.5625,2588.42578125,yes
248,umap,2771.32421875,2588.42578125,yes
249,umap,2775.36328125,2588.42578125,yes
250,umap,2776.703125,2588.42578125,yes
251,umap,2778.82421875,2588.42578125,yes
252,umap,2781.2734375,2588.42578125,yes
253,umap,2782.93359375,2588.42578125,yes
254,umap,2785.09765625,2588.42578125,yes
255,umap,2788.26953125,2588.42578125,yes
256,umap,2789.98046875,2588.42578125,yes
257,umap,2792.45703125,2588.42578125,yes
258,umap,2795.703125,2588.42578125,yes
259,umap,2797.140625,2588.42578125,yes
260,umap,2799.7578125,2588.42578125,yes
261,umap,2802.2890625,2588.42578125,yes
262,umap,2803.41796875,2588.42578125,yes
263,umap,2806.3359375,2588.42578125,yes
264,umap,2809.609375,2588.42578125,yes
265,umap,2811.50390625,2588.42578125,yes
266,umap,2814.08203125,2588.42578125,yes
267,umap,2816.92578125,2588.42578125,yes
268,umap,2819.67578125,2588.42578125,yes
269,umap,2822.12109375,2588.42578125,yes
270,umap,2825.04296875,2588.42578125,yes
271,umap,2827.0390625,2588.42578125,yes
272,umap,2830.05078125,2588.42578125,yes
273,umap,2832.49609375,2588.42578125,yes
274,umap,2835.52734375,2588.42578125,yes
275,umap,2837.4375,2588.42578125,yes
276,umap,2840.52734375,2588.42578125,yes
277,umap,2842.5703125,2588.42578125,yes
278,umap,2844.66015625,2588.42578125,yes
279,umap,2846.99609375,2588.42578125,yes
280,umap,2850.12109375,2588.42578125,yes
281,umap,2852.125,2588.42578125,yes
282,umap,2854.21484375,2588.42578125,yes
283,umap,2857.0703125,2588.42578125,yes
284,umap,2859.57421875,2588.42578125,yes
285,umap,2861.421875,2588.42578125,yes
286,umap,2863.890625,2588.42578125,yes
287,umap,2868.0703125,2588.42578125,yes
288,umap,2869.4765625,2588.42578125,yes
289,umap,2872.4375,2588.42578125,yes
290,umap,2875.3515625,2588.42578125,yes
291,umap,2877.0,2588.42578125,yes
292,umap,2879.0625,2588.42578125,yes
293,umap,2883.3125,2588.42578125,yes
294,umap,2886.40234375,2588.42578125,yes
295,umap,2887.8671875,2588.42578125,yes
296,umap,2890.3359375,2588.42578125,yes
297,umap,2909.171875,2588.42578125,yes
298,umap,2914.59765625,2588.42578125,yes
299,umap,2915.67578125,2588.42578125,yes
300,umap,2933.15625,2908.05078125,no
