,type,run_times,encoding
0,tsne,42.00804809998954,yes
1,tsne,42.47653449999052,yes
2,tsne,42.687608400010504,yes
3,tsne,42.70623370000976,yes
4,tsne,42.68874230000074,yes
5,tsne,42.64888210000936,yes
6,tsne,42.92533620001632,yes
7,tsne,42.7472486999759,yes
8,tsne,43.011988000012934,yes
9,tsne,42.69035879999865,yes
10,tsne,42.698492700001225,yes
11,tsne,42.87538750001113,yes
12,tsne,43.35755620000418,yes
13,tsne,42.84454540000297,yes
14,tsne,42.78380040000775,yes
15,tsne,42.679831699992064,yes
16,tsne,42.74595569999656,yes
17,tsne,42.851758699980564,yes
18,tsne,42.694726699992316,yes
19,tsne,42.92364580000867,yes
20,tsne,42.81569260000833,yes
21,tsne,42.687595299998065,yes
22,tsne,43.27008149999892,yes
23,tsne,42.84545359999174,yes
24,tsne,42.8470392000163,yes
25,tsne,42.71908569999505,yes
26,tsne,42.619112199987285,yes
27,tsne,42.72062259999802,yes
28,tsne,42.66878989999532,yes
29,tsne,42.92622880000272,yes
30,tsne,42.65848129999358,yes
31,tsne,42.661325699999,yes
32,tsne,42.78056139999535,yes
33,tsne,43.28761160001159,yes
34,tsne,42.920795900019584,yes
35,tsne,42.798034500010544,yes
36,tsne,42.7722100999963,yes
37,tsne,42.80258679998224,yes
38,tsne,42.78694489999907,yes
39,tsne,42.8258882999944,yes
40,tsne,42.871923500002595,yes
41,tsne,42.974733400013065,yes
42,tsne,42.9469549000205,yes
43,tsne,42.78033929999219,yes
44,tsne,42.79394649999449,yes
45,tsne,42.741274700005306,yes
46,tsne,42.73387309999089,yes
47,tsne,42.73339660000056,yes
48,tsne,43.288042800006224,yes
49,tsne,42.78277379999054,yes
50,tsne,44.48951039998792,yes
51,tsne,43.22453079998377,yes
52,tsne,43.00975360002485,yes
53,tsne,42.89504629999283,yes
54,tsne,43.26919910000288,yes
55,tsne,42.88222799997311,yes
56,tsne,42.80117329998757,yes
57,tsne,42.735545000003185,yes
58,tsne,42.78002509998623,yes
59,tsne,43.0054805999971,yes
60,tsne,42.62797630002024,yes
61,tsne,42.84720439999364,yes
62,tsne,42.96705490001477,yes
63,tsne,42.99420370001462,yes
64,tsne,42.74958560001687,yes
65,tsne,42.8595556000073,yes
66,tsne,42.64825830000336,yes
67,tsne,42.72216770000523,yes
68,tsne,43.07348479999928,yes
69,tsne,42.933024800004205,yes
70,tsne,43.410869799990905,yes
71,tsne,42.87059189999127,yes
72,tsne,42.86223540001083,yes
73,tsne,42.866401400009636,yes
74,tsne,42.66486069999519,yes
75,tsne,42.9128483000095,yes
76,tsne,43.06029399999534,yes
77,tsne,42.819805000006454,yes
78,tsne,42.82847879998735,yes
79,tsne,42.97802939999383,yes
80,tsne,42.74961609998718,yes
81,tsne,42.71509540002444,yes
82,tsne,42.725838799990015,yes
83,tsne,42.8108320000174,yes
