,type,run_mems,baselines,encoding
0,tsne,4475.60546875,3330.04296875,yes
1,tsne,4489.6484375,3330.04296875,yes
2,tsne,4464.3359375,3330.04296875,yes
3,tsne,4442.0078125,3330.04296875,yes
4,tsne,4456.3125,3330.04296875,yes
5,tsne,4435.1484375,3330.04296875,yes
6,tsne,4493.265625,3330.04296875,yes
7,tsne,4434.5078125,3330.04296875,yes
8,tsne,4430.6875,3330.04296875,yes
9,tsne,4437.45703125,3330.04296875,yes
10,tsne,4486.40234375,3330.04296875,yes
11,tsne,4487.57421875,3330.04296875,yes
12,tsne,4426.48046875,3330.04296875,yes
13,tsne,4461.0,3330.04296875,yes
14,tsne,4435.0234375,3330.04296875,yes
15,tsne,4424.43359375,3330.04296875,yes
16,tsne,4432.63671875,3330.04296875,yes
17,tsne,4490.33203125,3330.04296875,yes
18,tsne,4491.52734375,3330.04296875,yes
19,tsne,4478.15234375,3330.04296875,yes
20,tsne,4490.390625,3330.04296875,yes
21,tsne,4485.40234375,3330.04296875,yes
22,tsne,4461.015625,3330.04296875,yes
23,tsne,4431.16796875,3330.04296875,yes
24,tsne,3682.71484375,3330.04296875,yes
25,tsne,3637.09765625,3330.04296875,yes
26,tsne,3652.11328125,3330.04296875,yes
27,tsne,3645.49609375,3330.04296875,yes
28,tsne,3637.0703125,3330.04296875,yes
29,tsne,3629.01953125,3330.04296875,yes
30,tsne,3625.37109375,3330.04296875,yes
31,tsne,3619.23046875,3330.04296875,yes
32,tsne,3624.75390625,3330.04296875,yes
33,tsne,3682.09765625,3330.04296875,yes
34,tsne,3634.203125,3330.04296875,yes
35,tsne,3652.19921875,3330.04296875,yes
36,tsne,3651.80859375,3330.04296875,yes
37,tsne,3642.74609375,3330.04296875,yes
38,tsne,3652.421875,3330.04296875,yes
39,tsne,3639.70703125,3330.04296875,yes
40,tsne,3653.515625,3330.04296875,yes
41,tsne,3642.2734375,3330.04296875,yes
42,tsne,3651.34375,3330.04296875,yes
43,tsne,3658.1015625,3330.04296875,yes
44,tsne,3650.2265625,3330.04296875,yes
45,tsne,3620.3359375,3330.04296875,yes
46,tsne,3648.75,3330.04296875,yes
47,tsne,3647.99609375,3330.04296875,yes
48,tsne,3652.8828125,3330.04296875,yes
49,tsne,3619.578125,3330.04296875,yes
50,tsne,3637.38671875,3330.04296875,yes
51,tsne,3642.125,3330.04296875,yes
52,tsne,3665.5,3330.04296875,yes
53,tsne,3679.71484375,3330.04296875,yes
54,tsne,3630.29296875,3330.04296875,yes
55,tsne,3631.921875,3330.04296875,yes
56,tsne,3653.69140625,3330.04296875,yes
57,tsne,3651.80859375,3330.04296875,yes
58,tsne,3626.3203125,3330.04296875,yes
59,tsne,3658.21875,3330.04296875,yes
60,tsne,3654.71875,3330.04296875,yes
61,tsne,3662.9375,3330.04296875,yes
62,tsne,3651.4140625,3330.04296875,yes
63,tsne,3653.1484375,3330.04296875,yes
64,tsne,3629.66796875,3330.04296875,yes
65,tsne,3648.62109375,3330.04296875,yes
66,tsne,3667.6875,3330.04296875,yes
67,tsne,3646.73046875,3330.04296875,yes
68,tsne,3652.01171875,3330.04296875,yes
69,tsne,3629.1875,3330.04296875,yes
70,tsne,3648.4140625,3330.04296875,yes
71,tsne,3660.390625,3330.04296875,yes
72,tsne,3662.640625,3330.04296875,yes
73,tsne,3667.5,3330.04296875,yes
74,tsne,3662.98046875,3330.04296875,yes
75,tsne,3625.98828125,3330.04296875,yes
76,tsne,3669.1640625,3330.04296875,yes
77,tsne,3662.78125,3330.04296875,yes
78,tsne,3651.8671875,3330.04296875,yes
79,tsne,3669.05859375,3330.04296875,yes
80,tsne,3661.83984375,3330.04296875,yes
81,tsne,3671.8515625,3330.04296875,yes
82,tsne,3650.3515625,3330.04296875,yes
83,tsne,3673.421875,3330.04296875,yes
84,tsne,3671.6953125,3330.04296875,yes
85,tsne,3673.16796875,3330.04296875,yes
86,tsne,3656.4921875,3330.04296875,yes
87,tsne,3648.2890625,3330.04296875,yes
88,tsne,3641.12109375,3330.04296875,yes
89,tsne,3662.95703125,3330.04296875,yes
90,tsne,3663.84375,3330.04296875,yes
91,tsne,3643.59765625,3330.04296875,yes
92,tsne,3651.0546875,3330.04296875,yes
93,tsne,3640.28515625,3330.04296875,yes
94,tsne,3645.02734375,3330.04296875,yes
95,tsne,3680.2109375,3330.04296875,yes
96,tsne,3617.86328125,3330.04296875,yes
97,tsne,3630.96484375,3330.04296875,yes
98,tsne,3649.69140625,3330.04296875,yes
99,tsne,3661.30859375,3330.04296875,yes
100,tsne,4057.796875,2528.30859375,no
101,tsne,4037.80859375,2528.30859375,no
102,tsne,4066.94921875,2528.30859375,no
103,tsne,4081.05078125,2528.30859375,no
104,tsne,4078.01953125,2528.30859375,no
105,tsne,4045.875,2528.30859375,no
106,tsne,4051.9765625,2528.30859375,no
107,tsne,4079.48828125,2528.30859375,no
108,tsne,4055.203125,2528.30859375,no
109,tsne,4057.3203125,2528.30859375,no
110,tsne,4049.33984375,2528.30859375,no
111,tsne,4074.7734375,2528.30859375,no
112,tsne,4054.48046875,2528.30859375,no
113,tsne,4063.65234375,2528.30859375,no
114,tsne,4082.09765625,2528.30859375,no
115,tsne,4076.06640625,2528.30859375,no
116,tsne,4036.71875,2528.30859375,no
117,tsne,4081.65234375,2528.30859375,no
118,tsne,4054.9140625,2528.30859375,no
119,tsne,4082.2734375,2528.30859375,no
120,tsne,4073.2421875,2528.30859375,no
121,tsne,4079.328125,2528.30859375,no
122,tsne,4047.8515625,2528.30859375,no
123,tsne,4036.296875,2528.30859375,no
124,tsne,4042.09375,2528.30859375,no
125,tsne,4071.80859375,2528.30859375,no
126,tsne,4041.17578125,2528.30859375,no
127,tsne,4033.5,2528.30859375,no
128,tsne,4082.8125,2528.30859375,no
129,tsne,4066.99609375,2528.30859375,no
130,tsne,4085.54296875,2528.30859375,no
131,tsne,4071.80859375,2528.30859375,no
132,tsne,4053.05859375,2528.30859375,no
133,tsne,4065.54296875,2528.30859375,no
134,tsne,4080.671875,2528.30859375,no
135,tsne,4032.375,2528.30859375,no
136,tsne,4042.52734375,2528.30859375,no
137,tsne,4084.51171875,2528.30859375,no
138,tsne,4053.171875,2528.30859375,no
139,tsne,4054.47265625,2528.30859375,no
140,tsne,4072.3125,2528.30859375,no
