,type,run_mems,baselines,encoding
0,tsne,6395.0859375,6395.015625,yes
1,tsne,6395.0859375,6395.015625,yes
2,tsne,6395.0859375,6395.015625,yes
3,tsne,6395.0859375,6395.015625,yes
4,tsne,6395.0859375,6395.015625,yes
5,tsne,6395.08984375,6395.015625,yes
6,tsne,6395.08984375,6395.015625,yes
7,tsne,6395.09375,6395.015625,yes
8,tsne,6395.09375,6395.015625,yes
9,tsne,6395.09765625,6395.015625,yes
10,tsne,6395.09765625,6395.015625,yes
11,tsne,6395.09765625,6395.015625,yes
12,tsne,6395.09765625,6395.015625,yes
13,tsne,6395.09765625,6395.015625,yes
14,tsne,6395.09765625,6395.015625,yes
15,tsne,6395.09765625,6395.015625,yes
16,tsne,6395.09765625,6395.015625,yes
17,tsne,6395.09765625,6395.015625,yes
18,tsne,6395.09765625,6395.015625,yes
19,tsne,6395.1015625,6395.015625,yes
20,tsne,6395.1015625,6395.015625,yes
21,tsne,6395.1015625,6395.015625,yes
22,tsne,6395.1015625,6395.015625,yes
23,tsne,6395.1015625,6395.015625,yes
24,tsne,6395.1015625,6395.015625,yes
25,tsne,6395.1015625,6395.015625,yes
26,tsne,6395.1015625,6395.015625,yes
27,tsne,6395.1015625,6395.015625,yes
28,tsne,6395.1015625,6395.015625,yes
29,tsne,6395.1015625,6395.015625,yes
30,tsne,6395.1015625,6395.015625,yes
31,tsne,6395.1015625,6395.015625,yes
32,tsne,6395.1015625,6395.015625,yes
33,tsne,6395.1015625,6395.015625,yes
34,tsne,6395.1015625,6395.015625,yes
35,tsne,6395.1015625,6395.015625,yes
36,tsne,6395.1015625,6395.015625,yes
37,tsne,6395.1015625,6395.015625,yes
38,tsne,6395.1015625,6395.015625,yes
39,tsne,6395.1015625,6395.015625,yes
40,tsne,6395.1015625,6395.015625,yes
41,tsne,6395.1015625,6395.015625,yes
42,tsne,6395.1015625,6395.015625,yes
43,tsne,6395.1015625,6395.015625,yes
44,tsne,6395.1015625,6395.015625,yes
45,tsne,6395.1015625,6395.015625,yes
46,tsne,6395.1015625,6395.015625,yes
47,tsne,6395.1015625,6395.015625,yes
48,tsne,6395.1015625,6395.015625,yes
49,tsne,6395.1015625,6395.015625,yes
50,tsne,6395.1015625,6395.015625,yes
51,tsne,6395.1015625,6395.015625,yes
52,tsne,6395.1015625,6395.015625,yes
53,tsne,6395.1015625,6395.015625,yes
54,tsne,6395.1015625,6395.015625,yes
55,tsne,6395.1015625,6395.015625,yes
56,tsne,6395.1015625,6395.015625,yes
57,tsne,6395.1015625,6395.015625,yes
58,tsne,6395.1015625,6395.015625,yes
59,tsne,6395.1015625,6395.015625,yes
60,tsne,6395.1015625,6395.015625,yes
61,tsne,6395.1015625,6395.015625,yes
62,tsne,6395.1015625,6395.015625,yes
63,tsne,6395.1015625,6395.015625,yes
64,tsne,6395.1015625,6395.015625,yes
65,tsne,6395.1015625,6395.015625,yes
66,tsne,6395.1015625,6395.015625,yes
67,tsne,6395.1015625,6395.015625,yes
68,tsne,6395.1015625,6395.015625,yes
69,tsne,6395.1015625,6395.015625,yes
70,tsne,6395.1015625,6395.015625,yes
71,tsne,6395.1015625,6395.015625,yes
72,tsne,6395.1015625,6395.015625,yes
73,tsne,6395.1015625,6395.015625,yes
74,tsne,6395.1015625,6395.015625,yes
75,tsne,6395.1015625,6395.015625,yes
76,tsne,6395.1015625,6395.015625,yes
77,tsne,6395.1015625,6395.015625,yes
78,tsne,6395.1015625,6395.015625,yes
79,tsne,6395.1015625,6395.015625,yes
80,tsne,6395.1015625,6395.015625,yes
81,tsne,6395.1015625,6395.015625,yes
82,tsne,6395.1015625,6395.015625,yes
83,tsne,6395.1015625,6395.015625,yes
84,tsne,6395.1015625,6395.015625,yes
85,tsne,6395.1015625,6395.015625,yes
86,tsne,6395.1015625,6395.015625,yes
87,tsne,6395.1015625,6395.015625,yes
88,tsne,6395.1015625,6395.015625,yes
89,tsne,6395.1015625,6395.015625,yes
90,tsne,6395.1015625,6395.015625,yes
91,tsne,6395.1015625,6395.015625,yes
92,tsne,6395.1015625,6395.015625,yes
93,tsne,6395.1015625,6395.015625,yes
94,tsne,6395.1015625,6395.015625,yes
95,tsne,6395.1015625,6395.015625,yes
96,tsne,6395.1015625,6395.015625,yes
97,tsne,6395.1015625,6395.015625,yes
98,tsne,6395.1015625,6395.015625,yes
99,tsne,6395.1015625,6395.015625,yes
100,tsne,6395.11328125,6395.1015625,no
101,tsne,6395.11328125,6395.1015625,no
102,tsne,6395.11328125,6395.1015625,no
